ticker,date,price,qty,amount,available_cash,order,total_qty
TS,2021-07-02,22.12,2064,-45655.68,1188467.32,BUY,2064
BMA,2021-07-02,15.0,3044,-45660.0,1186451.37,BUY,3044
YPF,2021-07-02,4.53,10080,-45662.4,1189216.07,BUY,10080
GGAL,2021-07-02,8.53,5353,-45661.09,1187878.33,BUY,5353
BMA,2021-07-05,15.0,-3044,45660.0,1232111.37,SELL,0
YPF,2021-07-05,4.53,-10080,45662.4,1234878.47,SELL,0
GGAL,2021-07-05,8.53,-5353,45661.09,1233539.42,SELL,0
TS,2021-07-05,22.12,-2064,45655.68,1234123.0,SELL,0
YPF,2021-07-06,4.345,10509,-45661.6,1189216.87,BUY,10509
YPF,2021-07-06,4.345,-10509,45661.6,1234878.47,SELL,0
GGAL,2021-07-06,8.31,5494,-45655.14,1187884.28,BUY,5494
BMA,2021-07-06,14.525,-3143,45652.08,1232111.37,SELL,0
BMA,2021-07-06,14.525,3143,-45652.08,1186459.29,BUY,3143
TS,2021-07-06,21.06,2168,-45658.08,1188464.92,BUY,2168
TS,2021-07-06,21.06,-2168,45658.08,1234123.0,SELL,0
GGAL,2021-07-06,8.31,-5494,45655.14,1233539.42,SELL,0
YPF,2021-07-07,4.34,10521,-45661.14,1189217.33,BUY,10521
TS,2021-07-07,20.94,2180,-45649.2,1188473.8,BUY,2180
BMA,2021-07-07,14.31,3190,-45648.9,1186462.47,BUY,3190
GGAL,2021-07-07,8.3,5501,-45658.3,1187881.12,BUY,5501
YPF,2021-07-12,4.53,-10521,47660.13,1236877.46,SELL,0
TS,2021-07-12,21.32,-2180,46477.6,1234951.4,SELL,0
BMA,2021-07-12,14.91,-3190,47562.9,1234025.37,SELL,0
GGAL,2021-07-12,8.22,-5501,45218.22,1233099.34,SELL,0
YPF,2021-07-13,4.55,10035,-45659.25,1191218.21,BUY,10035
BMA,2021-07-13,14.9,3064,-45653.6,1188371.77,BUY,3064
BMA,2021-07-13,14.9,-3064,45653.6,1234025.37,SELL,0
YPF,2021-07-13,4.55,-10035,45659.25,1236877.46,SELL,0
TS,2021-07-13,20.92,-2182,45647.44,1234951.4,SELL,0
TS,2021-07-13,20.92,2182,-45647.44,1189303.96,BUY,2182
GGAL,2021-07-13,8.5,5372,-45662.0,1187437.34,BUY,5372
GGAL,2021-07-13,8.5,-5372,45662.0,1233099.34,SELL,0
YPF,2021-07-14,4.49,10169,-45658.81,1191218.65,BUY,10169
GGAL,2021-07-14,8.55,5340,-45657.0,1187442.34,BUY,5340
BMA,2021-07-14,14.84,3076,-45647.84,1188377.53,BUY,3076
TS,2021-07-14,20.87,2187,-45642.69,1189308.71,BUY,2187
YPF,2021-07-19,4.1,-10169,41692.9,1232911.55,SELL,0
GGAL,2021-07-19,7.96,-5340,42506.4,1229948.74,SELL,0
BMA,2021-07-19,13.915,-3076,42802.54,1231180.07,SELL,0
TS,2021-07-19,19.44,-2187,42515.28,1231823.99,SELL,0
BMA,2021-07-20,13.77,-3316,45661.32,1231180.07,SELL,0
BMA,2021-07-20,13.77,3316,-45661.32,1185518.75,BUY,3316
TS,2021-07-20,19.55,-2335,45649.25,1231823.99,SELL,0
YPF,2021-07-20,4.15,11003,-45662.45,1187249.1,BUY,11003
GGAL,2021-07-20,8.03,-5686,45658.58,1229948.74,SELL,0
GGAL,2021-07-20,8.03,5686,-45658.58,1184290.16,BUY,5686
TS,2021-07-20,19.55,2335,-45649.25,1186174.74,BUY,2335
YPF,2021-07-20,4.15,-11003,45662.45,1232911.55,SELL,0
YPF,2021-07-21,4.39,10401,-45660.39,1187251.16,BUY,10401
TS,2021-07-21,20.19,2261,-45649.59,1186174.4,BUY,2261
BMA,2021-07-21,14.55,3138,-45657.9,1185522.17,BUY,3138
GGAL,2021-07-21,8.38,5448,-45654.24,1184294.5,BUY,5448
YPF,2021-07-26,4.36,-10401,45348.36,1232599.52,SELL,0
GGAL,2021-07-26,8.15,-5448,44401.2,1228695.7,SELL,0
TS,2021-07-26,20.79,-2261,47006.19,1233180.59,SELL,0
BMA,2021-07-26,13.83,-3138,43398.54,1228920.71,SELL,0
YPF,2021-07-27,4.18,10924,-45662.32,1186937.2,BUY,10924
TS,2021-07-27,20.535,2223,-45649.3,1187531.29,BUY,2223
TS,2021-07-27,20.535,-2223,45649.3,1233180.59,SELL,0
BMA,2021-07-27,13.865,3293,-45657.44,1183263.27,BUY,3293
BMA,2021-07-27,13.865,-3293,45657.44,1228920.71,SELL,0
YPF,2021-07-27,4.18,-10924,45662.32,1232599.52,SELL,0
GGAL,2021-07-27,8.09,5644,-45659.96,1183035.74,BUY,5644
GGAL,2021-07-27,8.09,-5644,45659.96,1228695.7,SELL,0
BMA,2021-07-28,14.08,3243,-45661.44,1183259.27,BUY,3243
GGAL,2021-07-28,8.26,5528,-45661.28,1183034.42,BUY,5528
YPF,2021-07-28,4.335,10533,-45660.56,1186938.96,BUY,10533
TS,2021-07-28,20.695,2206,-45653.17,1187527.42,BUY,2206
BMA,2021-08-02,13.4,-3243,43456.2,1226715.47,SELL,0
TS,2021-08-02,20.34,-2206,44870.04,1232397.46,SELL,0
GGAL,2021-08-02,7.79,-5528,43063.12,1226097.54,SELL,0
YPF,2021-08-02,4.27,-10533,44975.91,1231914.87,SELL,0
TS,2021-08-03,20.83,-2192,45659.36,1232397.46,SELL,0
TS,2021-08-03,20.83,2192,-45659.36,1186738.1,BUY,2192
BMA,2021-08-03,13.75,3320,-45650.0,1181065.47,BUY,3320
GGAL,2021-08-03,8.02,5693,-45657.86,1180439.68,BUY,5693
YPF,2021-08-03,4.29,-10643,45658.47,1231914.87,SELL,0
YPF,2021-08-03,4.29,10643,-45658.47,1186256.4,BUY,10643
BMA,2021-08-03,13.75,-3320,45650.0,1226715.47,SELL,0
GGAL,2021-08-03,8.02,-5693,45657.86,1226097.54,SELL,0
YPF,2021-08-04,4.19,10897,-45658.43,1186256.44,BUY,10897
TS,2021-08-04,19.85,2300,-45655.0,1186742.46,BUY,2300
BMA,2021-08-04,13.51,3379,-45650.29,1181065.18,BUY,3379
GGAL,2021-08-04,7.96,5736,-45658.56,1180438.98,BUY,5736
BMA,2021-08-09,13.97,-3379,47204.63,1228269.81,SELL,0
TS,2021-08-09,20.49,-2300,47127.0,1233869.46,SELL,0
YPF,2021-08-09,4.46,-10897,48600.62,1234857.06,SELL,0
GGAL,2021-08-09,8.2,-5736,47035.2,1227474.18,SELL,0
BMA,2021-08-10,14.67,3112,-45653.04,1182616.77,BUY,3112
GGAL,2021-08-10,8.55,5340,-45657.0,1181817.18,BUY,5340
TS,2021-08-10,20.57,2219,-45644.83,1188224.63,BUY,2219
TS,2021-08-10,20.57,-2219,45644.83,1233869.46,SELL,0
GGAL,2021-08-10,8.55,-5340,45657.0,1227474.18,SELL,0
BMA,2021-08-10,14.67,-3112,45653.04,1228269.81,SELL,0
YPF,2021-08-10,4.74,-9633,45660.42,1234857.06,SELL,0
YPF,2021-08-10,4.74,9633,-45660.42,1189196.64,BUY,9633
BMA,2021-08-11,14.85,3074,-45648.9,1182620.91,BUY,3074
