ticker,date,price,qty,amount,available_cash,order,total_qty
GGAL,2021-08-11,8.715,5239,-45657.88,1181816.3,BUY,5239
YPF,2021-08-11,5.12,8918,-45660.16,1189196.9,BUY,8918
TS,2021-08-11,20.99,2175,-45653.25,1188216.21,BUY,2175
GGAL,2021-08-16,8.36,-5239,43798.04,1225614.34,SELL,0
TS,2021-08-16,20.17,-2175,43869.75,1232085.96,SELL,0
BMA,2021-08-16,14.23,-3074,43743.02,1226363.93,SELL,0
YPF,2021-08-16,4.8,-8918,42806.4,1232003.3,SELL,0
TS,2021-08-17,19.885,-2296,45655.96,1232085.96,SELL,0
BMA,2021-08-17,14.23,3208,-45649.84,1180714.09,BUY,3208
BMA,2021-08-17,14.23,-3208,45649.84,1226363.93,SELL,0
YPF,2021-08-17,4.755,9603,-45662.26,1186341.04,BUY,9603
GGAL,2021-08-17,8.32,-5488,45660.16,1225614.34,SELL,0
GGAL,2021-08-17,8.32,5488,-45660.16,1179954.18,BUY,5488
YPF,2021-08-17,4.755,-9603,45662.26,1232003.3,SELL,0
TS,2021-08-17,19.885,2296,-45655.96,1186430.0,BUY,2296
GGAL,2021-08-18,8.18,5582,-45660.76,1179953.58,BUY,5582
YPF,2021-08-18,4.59,9948,-45661.32,1186341.98,BUY,9948
TS,2021-08-18,19.82,2303,-45645.46,1186440.5,BUY,2303
BMA,2021-08-18,14.17,3222,-45655.74,1180708.19,BUY,3222
GGAL,2021-08-23,8.96,-5582,50014.72,1229968.3,SELL,0
YPF,2021-08-23,4.57,-9948,45462.36,1231804.34,SELL,0
BMA,2021-08-23,15.42,-3222,49683.24,1230391.43,SELL,0
TS,2021-08-23,19.49,-2303,44885.47,1231325.97,SELL,0
YPF,2021-08-24,4.84,-9434,45660.56,1231804.34,SELL,0
YPF,2021-08-24,4.84,9434,-45660.56,1186143.78,BUY,9434
BMA,2021-08-24,16.84,2711,-45653.24,1184738.19,BUY,2711
GGAL,2021-08-24,9.74,-4688,45661.12,1229968.3,SELL,0
TS,2021-08-24,19.76,-2310,45645.6,1231325.97,SELL,0
TS,2021-08-24,19.76,2310,-45645.6,1185680.37,BUY,2310
GGAL,2021-08-24,9.74,4688,-45661.12,1184307.18,BUY,4688
BMA,2021-08-24,16.84,-2711,45653.24,1230391.43,SELL,0
YPF,2021-08-25,5.0,9132,-45660.0,1186144.34,BUY,9132
GGAL,2021-08-25,10.12,4512,-45661.44,1184306.86,BUY,4512
BMA,2021-08-25,17.4,2624,-45657.6,1184733.83,BUY,2624
TS,2021-08-25,19.76,2310,-45645.6,1185680.37,BUY,2310
BMA,2021-08-30,19.11,-2624,50144.64,1234878.47,SELL,0
TS,2021-08-30,20.1,-2310,46431.0,1232111.37,SELL,0
YPF,2021-08-30,5.19,-9132,47395.08,1233539.42,SELL,0
GGAL,2021-08-30,10.98,-4512,49541.76,1233848.62,SELL,0
