ticker,date,price,qty,amount,available_cash,order,total_qty
YPF,2021-07-02,4.53,10080,-45662.4,1196832.12,BUY,10080
TS,2021-07-06,21.06,2168,-45658.08,1188464.92,BUY,2168
BMA,2021-07-06,14.525,3143,-45652.08,1190787.94,BUY,3143
GGAL,2021-07-06,8.31,5494,-45655.14,1194275.72,BUY,5494
YPF,2021-07-09,4.32,-10080,43545.6,1240377.72,SELL,0
TS,2021-07-09,21.42,-2168,46438.56,1234903.48,SELL,0
BMA,2021-07-12,14.91,-3143,46862.13,1237650.07,SELL,0
GGAL,2021-07-13,8.5,-5494,46699.0,1240974.72,SELL,0
TS,2021-07-13,20.92,2182,-45647.44,1189256.04,BUY,2182
YPF,2021-07-14,4.49,10169,-45658.81,1194718.91,BUY,10169
GGAL,2021-07-15,8.35,5468,-45657.8,1195316.92,BUY,5468
BMA,2021-07-15,14.45,3160,-45662.0,1191988.07,BUY,3160
BMA,2021-07-16,14.79,-3160,46736.4,1238724.47,SELL,0
BMA,2021-07-19,13.915,3281,-45655.12,1193069.35,BUY,3281
YPF,2021-07-21,4.39,-10169,44641.91,1239360.82,SELL,0
GGAL,2021-07-21,8.38,-5468,45821.84,1241138.76,SELL,0
BMA,2021-07-21,14.55,-3281,47738.55,1240807.9,SELL,0
TS,2021-07-21,20.19,-2182,44054.58,1233310.62,SELL,0
TS,2021-07-22,19.93,2291,-45659.63,1187650.99,BUY,2291
YPF,2021-07-22,4.32,10570,-45662.4,1193698.42,BUY,10570
GGAL,2021-07-22,8.12,5623,-45658.76,1195480.0,BUY,5623
BMA,2021-07-22,14.07,3245,-45657.15,1195150.75,BUY,3245
GGAL,2021-07-26,8.15,-5623,45827.45,1241307.45,SELL,0
TS,2021-07-26,20.79,-2291,47629.89,1235280.88,SELL,0
YPF,2021-07-26,4.36,-10570,46085.2,1239783.62,SELL,0
YPF,2021-07-27,4.18,10924,-45662.32,1194121.3,BUY,10924
TS,2021-07-27,20.535,2223,-45649.3,1189631.58,BUY,2223
YPF,2021-07-28,4.335,-10924,47355.54,1241476.84,SELL,0
GGAL,2021-07-29,8.08,5651,-45660.08,1195647.37,BUY,5651
YPF,2021-08-02,4.27,10693,-45659.11,1195817.73,BUY,10693
BMA,2021-08-03,13.75,-3245,44618.75,1239769.5,SELL,0
TS,2021-08-03,20.83,-2223,46305.09,1235936.67,SELL,0
GGAL,2021-08-03,8.02,-5651,45321.02,1240968.39,SELL,0
TS,2021-08-04,19.85,2300,-45655.0,1190281.67,BUY,2300
BMA,2021-08-04,13.51,3379,-45650.29,1194119.21,BUY,3379
YPF,2021-08-05,4.38,-10693,46835.34,1242653.07,SELL,0
BMA,2021-08-05,13.79,-3379,46596.41,1240715.62,SELL,0
TS,2021-08-11,20.99,-2300,48277.0,1238558.67,SELL,0
YPF,2021-08-12,5.04,9060,-45662.4,1196990.67,BUY,9060
TS,2021-08-13,20.46,2231,-45646.26,1192912.41,BUY,2231
GGAL,2021-08-13,8.48,5384,-45656.32,1195312.07,BUY,5384
BMA,2021-08-13,14.51,3146,-45648.46,1195067.16,BUY,3146
BMA,2021-08-20,14.6,-3146,45931.6,1240998.76,SELL,0
GGAL,2021-08-20,8.55,-5384,46033.2,1241345.27,SELL,0
YPF,2021-08-23,4.57,-9060,41404.2,1238394.87,SELL,0
TS,2021-08-23,19.49,-2231,43482.19,1236394.6,SELL,0
YPF,2021-08-26,4.905,9309,-45660.64,1192734.23,BUY,9309
BMA,2021-08-26,17.09,2671,-45647.39,1195351.37,BUY,2671
BMA,2021-08-27,17.65,-2671,47143.15,1242494.52,SELL,0
YPF,2021-08-27,5.07,-9309,47196.63,1239930.86,SELL,0
TS,2021-08-30,20.1,2271,-45647.1,1190747.5,BUY,2271
TS,2021-08-31,20.12,-2271,45692.52,1236440.02,SELL,0
